Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Fraction,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,TREATMENT,Cell_type,Tissue
SRR15513215,RNA-Seq,35,1431127439,PRJNA756018,SAMN20849932,626481342,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX11812009,ribosome-protected mRNA fragments,GSM5527740,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527740,untreated normal human umbilical vein endothelial cells,SRP333128,untreated,HUVEC,
SRR15513148,RNA-Seq,35,5172116333,PRJNA756018,SAMN20849933,2345830054,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX11811942,ribosome-protected mRNA fragments,GSM5527673,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527673,untreated normal human brain tissue,SRP333128,untreated,,Brain
SRR15513149,RNA-Seq,35,5168784760,PRJNA756018,SAMN20849934,2339567853,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX11811943,ribosome-protected mRNA fragments,GSM5527674,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527674,untreated normal human brain tissue,SRP333128,untreated,,Brain
SRR15513150,RNA-Seq,35,3171868897,PRJNA756018,SAMN20849935,1368676639,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX11811944,ribosome-protected mRNA fragments,GSM5527675,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527675,untreated normal human brain tissue,SRP333128,untreated,,Brain
SRR15513151,RNA-Seq,35,4985219559,PRJNA756018,SAMN20849936,2211700300,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX11811945,ribosome-protected mRNA fragments,GSM5527676,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527676,untreated normal human brain tissue,SRP333128,untreated,,Brain
SRR15513152,RNA-Seq,35,2702125563,PRJNA756018,SAMN20849937,1165749322,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX11811946,ribosome-protected mRNA fragments,GSM5527677,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527677,untreated normal human brain tissue,SRP333128,untreated,,Brain
SRR15513153,RNA-Seq,35,5483788970,PRJNA756018,SAMN20849938,2479683681,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX11811947,ribosome-protected mRNA fragments,GSM5527678,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527678,untreated human embryonic stem cells,SRP333128,untreated,ES,
SRR15513154,RNA-Seq,35,3633862254,PRJNA756018,SAMN20849939,1683154567,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX11811948,ribosome-protected mRNA fragments,GSM5527679,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527679,untreated human embryonic stem cells,SRP333128,untreated,ES,
SRR15513155,RNA-Seq,35,3366650374,PRJNA756018,SAMN20849940,1432718897,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX11811949,ribosome-protected mRNA fragments,GSM5527680,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527680,untreated human embryonic stem cells,SRP333128,untreated,ES,
SRR15513156,RNA-Seq,35,3011980437,PRJNA756018,SAMN20849941,1293480836,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX11811950,ribosome-protected mRNA fragments,GSM5527681,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527681,untreated human embryonic stem cells,SRP333128,untreated,ES,
SRR15513157,RNA-Seq,35,3028039674,PRJNA756018,SAMN20849942,1269965189,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX11811951,ribosome-protected mRNA fragments,GSM5527682,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527682,untreated human embryonic stem cells,SRP333128,untreated,ES,
SRR15513158,RNA-Seq,35,2412619089,PRJNA756018,SAMN20849943,1024855010,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX11811952,ribosome-protected mRNA fragments,GSM5527683,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527683,untreated human embryonic stem cells,SRP333128,untreated,ES,
SRR15513159,RNA-Seq,35,2202162454,PRJNA756018,SAMN20849944,935388305,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX11811953,ribosome-protected mRNA fragments,GSM5527684,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527684,untreated normal human fat tissue,SRP333128,untreated,,fat
SRR15513160,RNA-Seq,35,1766973759,PRJNA756018,SAMN20849945,748257027,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX11811954,ribosome-protected mRNA fragments,GSM5527685,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527685,untreated normal human fat tissue,SRP333128,untreated,,fat
SRR15513161,RNA-Seq,35,3183263050,PRJNA756018,SAMN20849946,1390100307,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX11811955,ribosome-protected mRNA fragments,GSM5527686,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527686,untreated normal human fat tissue,SRP333128,untreated,,fat
SRR15513162,RNA-Seq,35,3347342484,PRJNA756018,SAMN20849947,1447036727,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX11811956,ribosome-protected mRNA fragments,GSM5527687,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527687,untreated normal human fat tissue,SRP333128,untreated,,fat
SRR15513163,RNA-Seq,35,4193208372,PRJNA756018,SAMN20849903,1798904718,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX11811957,ribosome-protected mRNA fragments,GSM5527688,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527688,untreated normal human fat tissue,SRP333128,untreated,,fat
SRR15513164,RNA-Seq,35,4384409810,PRJNA756018,SAMN20849904,1869854240,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX11811958,ribosome-protected mRNA fragments,GSM5527689,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527689,untreated normal human fat tissue,SRP333128,untreated,,fat
SRR15513165,RNA-Seq,28,1023807725,PRJNA756018,SAMN20849905,514161623,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX11811959,ribosome-protected mRNA fragments,GSM5527690,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527690,untreated normal human fibroblast,SRP333128,untreated,Fibroblast,
SRR15513166,RNA-Seq,28,1135300574,PRJNA756018,SAMN20849906,570690519,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX11811960,ribosome-protected mRNA fragments,GSM5527691,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-07-19T00:00:00Z,GSM5527691,IL11 treated normal human fibroblast,SRP333128,IL11 stimulated,Fibroblast,
